"#CSV Embroidery File"
"#Created in Embird 2022 Build 10.66 (32-bit) on 19.02.2022 at 10:10:50
"#© 1997-2022 BALARAD, s.r.o.
"#https://www.embird.net
"#embird@embird.net
"#Notes: Can be read by Excel as CSV (Comma Separated Value) or text editor."
"#Lines beginning with # are comments."
"#Lines beginning with > are variables: >VARIABLE, VALUE"
"#Lines beginning with $ are colors: $Number, RED, GREEN, BLUE, Description, Catalog number"
"#Lines beginning with * are stitchlist entries: *STITCH, x, y, rel x, rel y, l, a, da"
"#  *STITCH means needle goes in, *JUMP means needle move only, *COLOR means stop for color change"
"#  x and y are absolute locations in mm; rel x, rel y are relative locations;"
"#  If absolute values are blank, relative values are used, otherwise relatives are ignored on read."
"#  (This is useful if editing by hand, move a piece of pattern by move first stitch and delete absolute values for the rest.)"
"#  l is stitch length, a is angle into node, da is angle out - angle in;"
"#  -999 means not-applicable.  These three parameters are ignored during read."
#
#>VAR_NAME,VAR_VALUE
">design_name","Embroidermodder "
">file_name","C:\users\rob\My Documents\embroidermodder\samples\Embroidermodder.csv"
">AX","+    0"
">AY","+    0"
">MX","+    0"
">MY","+    0"
">PD","******"
">Stitch_Count","3483"
">Color_Count","0"
">Extents","-111.300000,111.200000,-25.700000,25.700000"
#
#$COLOR,RED,GREEN,BLUE,DESCRIPTION,CATALOG_NUMBER
$0,0,0,255,"Purple","Brother Embroidery 614"
#
*STITCH,-101.100000,-3.900000,0.200000,-2.400000,2.408319,-85.236359,191.181763
*STITCH,-101.700000,-1.800000,-0.600000,2.100000,2.184033,105.945396,-190.975677
*STITCH,-101.500000,-4.100000,0.200000,-2.300000,2.308679,-85.030281,191.729523
*STITCH,-102.100000,-2.100000,-0.600000,2.000000,2.088061,106.699242,-191.504837
*STITCH,-101.900000,-4.300000,0.200000,-2.200000,2.209072,-84.805595,191.504837
*STITCH,-102.500000,-2.300000,-0.600000,2.000000,2.088061,106.699242,-191.729523
*STITCH,-102.300000,-4.600000,0.200000,-2.300000,2.308679,-85.030281,191.729523
*STITCH,-102.900000,-2.600000,-0.600000,2.000000,2.088061,106.699242,-191.504837
*STITCH,-102.700000,-4.800000,0.200000,-2.200000,2.209072,-84.805595,192.331177
*STITCH,-103.300000,-2.900000,-0.600000,1.900000,1.992486,107.525574,-192.331177
*STITCH,-103.100000,-5.100000,0.200000,-2.200000,2.209072,-84.805595,192.331177
*STITCH,-103.700000,-3.200000,-0.600000,1.900000,1.992486,107.525574,-192.085266
*STITCH,-103.500000,-5.300000,0.200000,-2.100000,2.109502,-84.559692,192.994644
*STITCH,-104.100000,-3.500000,-0.600000,1.800000,1.897367,108.434952,-192.994644
*STITCH,-103.900000,-5.600000,0.200000,-2.100000,2.109502,-84.559692,192.994644
*STITCH,-104.500000,-3.800000,-0.600000,1.800000,1.897367,108.434952,-192.994644
*STITCH,-104.300000,-5.900000,0.200000,-2.100000,2.109502,-84.559692,192.085266
*STITCH,-104.900000,-4.000000,-0.600000,1.900000,1.992486,107.525574,-192.331177
*STITCH,-104.700000,-6.200000,0.200000,-2.200000,2.209072,-84.805595,191.504837
*STITCH,-105.300000,-4.200000,-0.600000,2.000000,2.088061,106.699242,-191.729523
*STITCH,-105.100000,-6.500000,0.200000,-2.300000,2.308679,-85.030281,194.320328
*STITCH,-105.800000,-4.500000,-0.700000,2.000000,2.118962,109.290047,-191.858643
*STITCH,-105.500000,-6.800000,0.300000,-2.300000,2.319483,-82.568604,191.858643
*STITCH,-106.200000,-4.800000,-0.700000,2.000000,2.118962,109.290047,-189.424225
*STITCH,-105.800000,-7.100000,0.400000,-2.300000,2.334524,-80.134186,191.935608
*STITCH,-106.600000,-5.100000,-0.800000,2.000000,2.154066,111.801414,-192.339081
*STITCH,-106.200000,-7.500000,0.400000,-2.400000,2.433105,-80.537674,191.392136
*STITCH,-107.000000,-5.400000,-0.800000,2.100000,2.247220,110.854462,-190.988647
*STITCH,-106.600000,-7.700000,0.400000,-2.300000,2.334524,-80.134186,190.988647
*STITCH,-107.400000,-5.600000,-0.800000,2.100000,2.247220,110.854462,-191.392136
*STITCH,-107.000000,-8.000000,0.400000,-2.400000,2.433105,-80.537674,192.786697
*STITCH,-107.900000,-5.800000,-0.900000,2.200000,2.376973,112.249023,-190.939087
*STITCH,-107.400000,-8.300000,0.500000,-2.500000,2.549510,-78.690063,190.060699
*STITCH,-108.300000,-6.000000,-0.900000,2.300000,2.469818,111.370628,-187.874878
*STITCH,-107.700000,-8.500000,0.600000,-2.500000,2.570992,-76.504257,192.064224
*STITCH,-108.800000,-6.200000,-1.100000,2.300000,2.549510,115.559967,-190.491486
*STITCH,-108.100000,-8.800000,0.700000,-2.600000,2.692582,-74.931519,190.491486
*STITCH,-109.200000,-6.500000,-1.100000,2.300000,2.549510,115.559967,-189.917725
*STITCH,-108.500000,-9.000000,0.700000,-2.500000,2.596151,-74.357758,195.321518
*STITCH,-109.100000,-8.000000,-0.600000,1.000000,1.166190,120.963760,-270.895203
*STITCH,-111.000000,-9.100000,-1.900000,-1.100000,2.195450,-149.931427,239.931427
*STITCH,-111.000000,-8.500000,0.000000,0.600000,0.600000,90.000000,-196.699249
*STITCH,-111.300000,-9.500000,-0.300000,-1.000000,1.044031,-106.699249,182.663010
*STITCH,-110.900000,-7.900000,0.400000,1.600000,1.649242,75.963760,-156.501434
*STITCH,-110.600000,-9.700000,0.300000,-1.800000,1.824829,-80.537682,170.537689
*STITCH,-110.600000,-7.500000,0.000000,2.200000,2.200000,90.000000,-167.195740
*STITCH,-110.100000,-9.700000,0.500000,-2.200000,2.256103,-77.195740,171.769653
*STITCH,-110.300000,-7.200000,-0.200000,2.500000,2.507987,94.573921,-168.313721
*STITCH,-109.600000,-9.600000,0.700000,-2.400000,2.500000,-73.739792,170.321732
*STITCH,-109.900000,-7.000000,-0.300000,2.600000,2.617250,96.581940,-170.321732
*STITCH,-109.200000,-9.400000,0.700000,-2.400000,2.500000,-73.739792,170.079987
*STITCH,-109.500000,-6.700000,-0.300000,2.700000,2.716615,96.340195,-170.697952
*STITCH,-108.800000,-9.200000,0.700000,-2.500000,2.596151,-74.357758,170.473267
*STITCH,-109.100000,-6.400000,-0.300000,2.800000,2.816026,96.115501,-170.473267
*STITCH,-108.400000,-8.900000,0.700000,-2.500000,2.596151,-74.357758,172.784729
*STITCH,-108.800000,-6.200000,-0.400000,2.700000,2.729469,98.426964,-170.682281
*STITCH,-108.000000,-8.700000,0.800000,-2.500000,2.624881,-72.255325,112.060898
*STITCH,-107.400000,-8.200000,0.600000,0.500000,0.781025,39.805573,3.219490
*STITCH,-105.900000,-6.800000,1.500000,1.400000,2.051828,43.025063,9.099953
*STITCH,-105.200000,-5.900000,0.700000,0.900000,1.140175,52.125015,-194.477402
*STITCH,-108.700000,-8.600000,-3.500000,-2.700000,4.420407,-142.352386,177.130219
*STITCH,-105.100000,-6.100000,3.600000,2.500000,4.382921,34.777828,-174.463745
*STITCH,-108.400000,-8.900000,-3.300000,-2.800000,4.327817,-139.685913,175.223587
*STITCH,-104.900000,-6.400000,3.500000,2.500000,4.301163,35.537678,-175.381668
*STITCH,-108.100000,-9.100000,-3.200000,-2.700000,4.186884,-139.843994,176.990677
*STITCH,-104.800000,-6.600000,3.300000,2.500000,4.140048,37.146683,-174.121613
*STITCH,-107.800000,-9.400000,-3.000000,-2.800000,4.103657,-136.974930,173.002304
*STITCH,-104.500000,-7.000000,3.300000,2.400000,4.080441,36.027378,-173.002304
*STITCH,-107.500000,-9.800000,-3.000000,-2.800000,4.103657,-136.974930,174.973663
*STITCH,-104.300000,-7.300000,3.200000,2.500000,4.060788,37.998730,-174.973663
*STITCH,-107.300000,-10.100000,-3.000000,-2.800000,4.103657,-136.974930,173.844818
*STITCH,-104.100000,-7.700000,3.200000,2.400000,4.000000,36.869896,-173.915314
*STITCH,-107.000000,-10.400000,-2.900000,-2.700000,3.962323,-137.045410,173.618439
*STITCH,-103.900000,-8.100000,3.100000,2.300000,3.860052,36.573029,-174.695160
*STITCH,-106.800000,-10.700000,-2.900000,-2.600000,3.894868,-138.122131,173.828827
*STITCH,-103.600000,-8.400000,3.200000,2.300000,3.940812,35.706688,-173.828827
*STITCH,-106.500000,-11.000000,-2.900000,-2.600000,3.894868,-138.122131,173.484589
*STITCH,-103.400000,-8.800000,3.100000,2.200000,3.801316,35.362465,-175.751770
*STITCH,-106.300000,-11.200000,-2.900000,-2.400000,3.764306,-140.389313,173.217865
*STITCH,-103.200000,-9.200000,3.100000,2.000000,3.689174,32.828545,-173.427887
*STITCH,-106.000000,-11.500000,-2.800000,-2.300000,3.623534,-140.599335,173.427887
*STITCH,-102.900000,-9.500000,3.100000,2.000000,3.689174,32.828545,-174.410492
*STITCH,-105.800000,-11.800000,-2.900000,-2.300000,3.701351,-141.581940,173.086212
*STITCH,-102.700000,-9.900000,3.100000,1.900000,3.635932,31.504269,-174.319565
*STITCH,-105.600000,-12.100000,-2.900000,-2.200000,3.640055,-142.815292,172.956680
*STITCH,-102.500000,-10.300000,3.100000,1.800000,3.584690,30.141386,-172.956680
*STITCH,-105.400000,-12.500000,-2.900000,-2.200000,3.640055,-142.815292,172.956680
*STITCH,-102.300000,-10.700000,3.100000,1.800000,3.584690,30.141386,-174.231659
*STITCH,-105.200000,-12.800000,-2.900000,-2.100000,3.580503,-144.090271,174.231659
*STITCH,-102.100000,-11.000000,3.100000,1.800000,3.584690,30.141386,-171.984161
*STITCH,-104.900000,-13.200000,-2.800000,-2.200000,3.560899,-141.842773,173.347046
*STITCH,-101.800000,-11.300000,3.100000,1.900000,3.635932,31.504269,-173.086212
*STITCH,-104.700000,-13.600000,-2.900000,-2.300000,3.701351,-141.581940,172.281662
*STITCH,-101.500000,-11.700000,3.200000,1.900000,3.721559,30.699720,-173.515015
*STITCH,-104.400000,-13.900000,-2.900000,-2.200000,3.640055,-142.815292,172.956680
*STITCH,-101.300000,-12.100000,3.100000,1.800000,3.584690,30.141386,-174.231659
*STITCH,-104.200000,-14.200000,-2.900000,-2.100000,3.580503,-144.090271,174.231659
*STITCH,-101.100000,-12.400000,3.100000,1.800000,3.584690,30.141386,-172.956680
*STITCH,-104.000000,-14.600000,-2.900000,-2.200000,3.640055,-142.815292,172.173050
*STITCH,-100.800000,-12.800000,3.200000,1.800000,3.671512,29.357752,-172.173050
*STITCH,-103.700000,-15.000000,-2.900000,-2.200000,3.640055,-142.815292,172.956680
*STITCH,-100.600000,-13.200000,3.100000,1.800000,3.584690,30.141386,-174.231659
*STITCH,-103.500000,-15.300000,-2.900000,-2.100000,3.580503,-144.090271,172.830063
*STITCH,-100.400000,-13.600000,3.100000,1.700000,3.535534,28.739798,-172.830063
*STITCH,-103.300000,-15.700000,-2.900000,-2.100000,3.580503,-144.090271,173.448029
*STITCH,-100.100000,-13.900000,3.200000,1.800000,3.671512,29.357752,-173.103928
*STITCH,-103.100000,-16.100000,-3.000000,-2.200000,3.720215,-143.746170,173.103928
*STITCH,-99.900000,-14.300000,3.200000,1.800000,3.671512,29.357752,-173.103928
*STITCH,-102.900000,-16.500000,-3.000000,-2.200000,3.720215,-143.746170,174.445892
*STITCH,-99.700000,-14.600000,3.200000,1.900000,3.721559,30.699720,-176.585251
*STITCH,-102.800000,-16.700000,-3.100000,-2.100000,3.744329,-145.885529,196.596130
*STITCH,-101.900000,-15.600000,0.900000,1.100000,1.421267,50.710594,-24.145544
*STITCH,-100.700000,-15.000000,1.200000,0.600000,1.341641,26.565050,7.721827
*STITCH,-98.500000,-13.500000,2.200000,1.500000,2.662705,34.286877,-4.030443
*STITCH,-97.300000,-12.800000,1.200000,0.700000,1.389244,30.256433,5.770945
*STITCH,-95.100000,-11.200000,2.200000,1.600000,2.720294,36.027378,-7.726622
*STITCH,-93.800000,-10.500000,1.300000,0.700000,1.476482,28.300756,9.574228
*STITCH,-92.900000,-9.800000,0.900000,0.700000,1.140175,37.874985,-199.440033
*STITCH,-94.100000,-10.200000,-1.200000,-0.400000,1.264911,-161.565048,136.789902
*STITCH,-92.800000,-10.800000,1.300000,-0.600000,1.431782,-24.775141,185.335129
*STITCH,-94.500000,-10.200000,-1.700000,0.600000,1.802776,160.559982,-199.219788
*STITCH,-93.000000,-11.400000,1.500000,-1.200000,1.920937,-38.659805,190.901260
*STITCH,-94.900000,-10.400000,-1.900000,1.000000,2.147091,152.241455,-195.266525
*STITCH,-93.400000,-11.800000,1.500000,-1.400000,2.051828,-43.025070,189.335007
*STITCH,-95.200000,-10.600000,-1.800000,1.200000,2.163331,146.309937,-191.309937
*STITCH,-93.800000,-12.000000,1.400000,-1.400000,1.979899,-44.999996,192.094757
*STITCH,-95.500000,-10.900000,-1.700000,1.100000,2.024846,147.094757,-194.215851
*STITCH,-94.200000,-12.300000,1.300000,-1.400000,1.910497,-47.121098,191.903503
*STITCH,-95.900000,-11.100000,-1.700000,1.200000,2.080865,144.782410,-191.903503
*STITCH,-94.600000,-12.500000,1.300000,-1.400000,1.910497,-47.121098,194.215851
*STITCH,-96.300000,-11.400000,-1.700000,1.100000,2.024846,147.094757,-192.094757
*STITCH,-95.000000,-12.700000,1.300000,-1.300000,1.838478,-44.999996,194.534454
*STITCH,-96.700000,-11.700000,-1.700000,1.000000,1.972308,149.534454,-192.243835
*STITCH,-95.400000,-12.900000,1.300000,-1.200000,1.769181,-42.709389,192.243835
*STITCH,-97.100000,-11.900000,-1.700000,1.000000,1.972308,149.534454,-194.534454
*STITCH,-95.800000,-13.200000,1.300000,-1.300000,1.838478,-44.999996,192.094757
*STITCH,-97.500000,-12.100000,-1.700000,1.100000,2.024846,147.094757,-194.215851
*STITCH,-96.200000,-13.500000,1.300000,-1.400000,1.910497,-47.121098,191.903503
*STITCH,-97.900000,-12.300000,-1.700000,1.200000,2.080865,144.782410,-194.181122
*STITCH,-96.700000,-13.700000,1.200000,-1.400000,1.843909,-49.398705,194.890167
*STITCH,-98.300000,-12.600000,-1.600000,1.100000,1.941649,145.491470,-192.612564
*STITCH,-97.000000,-14.000000,1.300000,-1.400000,1.910497,-47.121098,194.215851
*STITCH,-98.700000,-12.900000,-1.700000,1.100000,2.024846,147.094757,-194.215851
*STITCH,-97.400000,-14.300000,1.300000,-1.400000,1.910497,-47.121098,196.655548
*STITCH,-99.100000,-13.300000,-1.700000,1.000000,1.972308,149.534454,-192.413361
*STITCH,-97.700000,-14.600000,1.400000,-1.300000,1.910497,-42.878902,192.810333
*STITCH,-99.600000,-13.500000,-1.900000,1.100000,2.195450,149.931427,-192.956497
*STITCH,-98.100000,-14.900000,1.500000,-1.400000,2.051828,-43.025070,188.644730
*STITCH,-100.000000,-13.600000,-1.900000,1.300000,2.302173,145.619659,-192.467270
*STITCH,-98.500000,-15.200000,1.500000,-1.600000,2.193171,-46.847607,191.855591
*STITCH,-100.500000,-13.800000,-2.000000,1.400000,2.441311,145.007980,-193.374451
*STITCH,-98.900000,-15.600000,1.600000,-1.800000,2.408319,-48.366463,190.076294
*STITCH,-100.800000,-14.100000,-1.900000,1.500000,2.420744,141.709839,-190.286179
*STITCH,-99.300000,-15.800000,1.500000,-1.700000,2.267157,-48.576336,190.286179
*STITCH,-101.200000,-14.300000,-1.900000,1.500000,2.420744,141.709839,-190.076294
*STITCH,-99.600000,-16.100000,1.600000,-1.800000,2.408319,-48.366463,188.001923
*STITCH,-101.600000,-14.400000,-2.000000,1.700000,2.624881,139.635452,-190.975647
*STITCH,-100.000000,-16.400000,1.600000,-2.000000,2.561250,-51.340191,190.738892
*STITCH,-102.100000,-14.600000,-2.100000,1.800000,2.765863,139.398697,-189.034164
*STITCH,-100.400000,-16.600000,1.700000,-2.000000,2.624881,-49.635464,189.034164
*STITCH,-102.500000,-14.800000,-2.100000,1.800000,2.765863,139.398697,-188.797394
*STITCH,-100.700000,-16.900000,1.800000,-2.100000,2.765863,-49.398705,190.407715
*STITCH,-102.800000,-15.200000,-2.100000,1.700000,2.701851,141.009003,-184.460846
*STITCH,-100.900000,-17.000000,1.900000,-1.800000,2.617250,-43.451843,190.980652
*STITCH,-103.100000,-15.600000,-2.200000,1.400000,2.607681,147.528809,-187.629715
*STITCH,-101.200000,-17.200000,1.900000,-1.600000,2.483949,-40.100906,210.092941
*STITCH,-102.900000,-16.900000,-1.700000,0.300000,1.726268,169.992035,-323.427002
*STITCH,-103.500000,-17.200000,-0.600000,-0.300000,0.670820,-153.434952,4.398712
*STITCH,-104.500000,-17.800000,-1.000000,-0.600000,1.166190,-149.036240,216.416382
*STITCH,-104.000000,-16.600000,0.500000,1.200000,1.300000,67.380135,-140.026123
*STITCH,-103.500000,-18.200000,0.500000,-1.600000,1.676305,-72.645981,165.372284
*STITCH,-103.600000,-16.100000,-0.100000,2.100000,2.102380,92.726311,-162.501450
*STITCH,-102.900000,-18.000000,0.700000,-1.900000,2.024846,-69.775139,169.640945
*STITCH,-103.300000,-15.700000,-0.400000,2.300000,2.334524,99.865807,-167.616791
*STITCH,-102.400000,-17.900000,0.900000,-2.200000,2.376973,-67.750984,168.636505
*STITCH,-102.900000,-15.300000,-0.500000,2.600000,2.647640,100.885529,-167.136047
*STITCH,-101.800000,-17.800000,1.100000,-2.500000,2.731300,-66.250511,171.672668
*STITCH,-102.600000,-14.900000,-0.800000,2.900000,3.008322,105.422157,-171.459671
*STITCH,-101.400000,-17.600000,1.200000,-2.700000,2.954657,-66.037514,118.468925
*STITCH,-100.400000,-16.300000,1.000000,1.300000,1.640122,52.431412,-7.431416
*STITCH,-99.300000,-15.200000,1.100000,1.100000,1.555635,44.999996,-186.581940
*STITCH,-102.200000,-17.500000,-2.900000,-2.300000,3.701351,-141.581940,174.410492
*STITCH,-99.100000,-15.500000,3.100000,2.000000,3.689174,32.828545,-172.227264
*STITCH,-101.900000,-17.900000,-2.800000,-2.400000,3.687818,-139.398712,174.390732
*STITCH,-98.900000,-15.800000,3.000000,2.100000,3.661967,34.992023,-173.231720
*STITCH,-101.700000,-18.300000,-2.800000,-2.500000,3.753665,-138.239700,174.493546
*STITCH,-98.700000,-16.100000,3.000000,2.200000,3.720215,36.253841,-173.456451
*STITCH,-101.400000,-18.600000,-2.700000,-2.500000,3.679674,-137.202606,174.387314
*STITCH,-98.500000,-16.400000,2.900000,2.200000,3.640055,37.184711,-173.265625
*STITCH,-101.200000,-19.000000,-2.700000,-2.600000,3.748333,-136.080917,173.557098
*STITCH,-98.200000,-16.700000,3.000000,2.300000,3.780212,37.476177,-172.476181
*STITCH,-100.900000,-19.400000,-2.700000,-2.700000,3.818377,-135.000000,174.610687
*STITCH,-98.000000,-17.000000,2.900000,2.400000,3.764306,39.610683,-174.610687
*STITCH,-100.700000,-19.700000,-2.700000,-2.700000,3.818377,-135.000000,173.418060
*STITCH,-97.800000,-17.400000,2.900000,2.300000,3.701351,38.418056,-174.498978
*STITCH,-100.500000,-20.000000,-2.700000,-2.600000,3.748333,-136.080917,173.265625
*STITCH,-97.600000,-17.800000,2.900000,2.200000,3.640055,37.184711,-174.387314
*STITCH,-100.300000,-20.300000,-2.700000,-2.500000,3.679674,-137.202606,173.112335
*STITCH,-97.400000,-18.200000,2.900000,2.100000,3.580503,35.909721,-173.200348
*STITCH,-100.000000,-20.600000,-2.600000,-2.400000,3.538361,-137.290619,172.828293
*STITCH,-97.200000,-18.600000,2.800000,2.000000,3.440930,35.537678,-172.828293
*STITCH,-99.800000,-21.000000,-2.600000,-2.400000,3.538361,-137.290619,173.200348
*STITCH,-96.900000,-18.900000,2.900000,2.100000,3.580503,35.909721,-174.276184
*STITCH,-99.600000,-21.300000,-2.700000,-2.400000,3.612478,-138.366470,173.358490
*STITCH,-96.600000,-19.200000,3.000000,2.100000,3.661967,34.992023,-173.358490
*STITCH,-99.300000,-21.600000,-2.700000,-2.400000,3.612478,-138.366470,175.551178
*STITCH,-96.400000,-19.400000,2.900000,2.200000,3.640055,37.184711,-173.265625
*STITCH,-99.100000,-22.000000,-2.700000,-2.600000,3.748333,-136.080917,176.682220
*STITCH,-96.300000,-19.600000,2.800000,2.400000,3.687818,40.601295,-173.480194
*STITCH,-98.900000,-22.400000,-2.600000,-2.800000,3.820995,-132.878906,175.757813
*STITCH,-96.100000,-19.800000,2.800000,2.600000,3.820995,42.878902,-173.793289
*STITCH,-98.700000,-22.800000,-2.600000,-3.000000,3.969887,-130.914383,176.956009
*STITCH,-96.000000,-20.000000,2.700000,2.800000,3.889730,46.041626,-172.911530
*STITCH,-98.400000,-23.200000,-2.400000,-3.200000,4.000000,-126.869904,175.955521
*STITCH,-95.800000,-20.200000,2.600000,3.000000,3.969887,49.085617,-173.594147
*STITCH,-98.000000,-23.400000,-2.200000,-3.200000,3.883298,-124.508530,176.090469
*STITCH,-95.700000,-20.500000,2.300000,2.900000,3.701351,51.581944,-173.086212
*STITCH,-97.600000,-23.600000,-1.900000,-3.100000,3.635932,-121.504272,173.347046
*STITCH,-95.400000,-20.800000,2.200000,2.800000,3.560899,51.842773,-172.806534
*STITCH,-97.200000,-23.800000,-1.800000,-3.000000,3.498571,-120.963760,172.036224
*STITCH,-95.100000,-21.200000,2.100000,2.600000,3.342155,51.072456,-171.054108
*STITCH,-96.600000,-23.800000,-1.500000,-2.600000,3.001666,-119.981644,170.421967
*STITCH,-94.700000,-21.500000,1.900000,2.300000,2.983287,50.440331,-171.769028
*STITCH,-96.100000,-23.800000,-1.400000,-2.300000,2.692582,-121.328697,105.804588
*STITCH,-94.300000,-24.300000,1.800000,-0.500000,1.868154,-15.524112,-90.421288
*STITCH,-94.500000,-25.000000,-0.200000,-0.700000,0.728011,-105.945396,97.815292
*STITCH,-93.800000,-25.100000,0.700000,-0.100000,0.707107,-8.130102,-136.332230
*STITCH,-94.500000,-25.600000,-0.700000,-0.500000,0.860233,-144.462326,214.808502
*STITCH,-94.000000,-24.200000,0.500000,1.400000,1.486607,70.346176,-194.036255
*STITCH,-95.000000,-25.700000,-1.000000,-1.500000,1.802776,-123.690071,195.255127
*STITCH,-94.300000,-23.600000,0.700000,2.100000,2.213594,71.565048,-191.309937
*STITCH,-95.500000,-25.700000,-1.200000,-2.100000,2.418677,-119.744881,191.309937
*STITCH,-94.600000,-23.000000,0.900000,2.700000,2.846050,71.565048,-189.039490
*STITCH,-95.900000,-25.500000,-1.300000,-2.500000,2.817801,-117.474434,187.675552
*STITCH,-95.000000,-23.000000,0.900000,2.500000,2.657066,70.201118,-186.766174
*STITCH,-96.200000,-25.400000,-1.200000,-2.400000,2.683282,-116.565048,190.304840
*STITCH,-95.500000,-23.000000,0.700000,2.400000,2.500000,73.739792,-190.304840
