"Name","Color (Hex Code)","Catalog Code"
"Bright Turquoise", #306F75, 1251
"Bright Peacock", #09A1A8, 1252
"Dk Sapphire", #1B4CA4, 1253
"Dusty Lavender", #E6B9F5, 1254
"Deep Orchid", #BE1982, 1255
"Sweet Pink", #EB8296, 1256
"Deep Coral", #E60041, 1257
"Coral Reed", #F0C4A0, 1258
"Salmon Peach", #E28264, 1259
"Red Jubilee", #B30000, 1263
"Cognac", #6A0000, 1264
"Burnt Toast", #9B6B2C, 1265
"Toast", #9C6D45, 1266
"Mink Brown", #864C31, 1267
"Light Gray Khaki", #EFEFE5, 1268
"Dk Gray Khaki", #B7B7AF, 1270
"Evergreen", #3C4F31, 1271
"Hedge Green", #4A4A19, 1272
"Nile Green", #5C9A1A, 1274
"Sea Mist", #E0E6C8, 1275
"Pistachio", #70770F, 1276
"Ivy Green", #027602, 1277
"Bright Green", #00AF38, 1278
"Willow Green", #93D16C, 1279
"Dk Willow Green", #46B774, 1280
"Slate Gray", #483D59, 1283
"Dk Winter Sky", #466E78, 1284
"Dk Sage Green", #134F45, 1285
"Dk French Green", #343213, 1286
"French Green", #415545, 1287
"Aqua", #0FA56F, 1288
"Ice Blue", #DCEBF0, 1289
"Winter Sky", #727483, 1291
"Heron Blue", #D1DCFA, 1292
"Deep Nassau Blue", #44235D, 1293
"Deep Slate Gray", #412044, 1294
"Sterling", #82878C, 1295
"Hyacinth", #D2AAF0, 1296
"Lt Plum", #735A64, 1297
"Dk Plum", #644664, 1298
"Purple Shadow", #411446, 1299
"Plum", #7E1E46, 1300
"Deep Eggplant", #320046, 1301
"Eggplant", #6E0A96, 1302
"Dewberry", #B47364, 1304
"Sage Green", #AEC6BB, 1305
"Gun Metal Gray", #7E6C7C, 1306
"Petal Pink", #DB6478, 1307
"Magenta", #782346, 1309
"Mulberry", #961A32, 1311
"Wine", #840000, 1312
"Bittersweet", #FC8F0C, 1313
"Poppy", #FF0000, 1317 /* TODO: duplicate case value */
"Gray Khaki", #CBCBBD, 1321
"Chartreuse", #818901, 1322
"Whisper Gray", #F8F5F1, 1325
"Dk Whisper Gray", #D5C7C3, 1327
"Nickel Gray", #C0B2B7, 1328
"Dk Nickel Gray", #ABA0A8, 1329
"Pale Green", #EDF6D4, 1331
"Deep Chartreuse", #868105, 1332
"Sunflower Gold", #F3B600, 1333
"Green Peacock", #349669, 1503
"Putty", #C1CBB9, 1508
"Lime Green", #7AB31D, 1510
"Deep Rose", #EE5078, 1511
"Wild Peacock", #007A67, 1513
"Rosebud", #FF8CCB, 1515
"Coachman Green", #014F3A, 1517
"Lt Rose", #CD054D, 1533
"Sapphire", #347DCB, 1534
"Team Blue", #23238B, 1535
"Midnight Teal", #081705, 1536
"Peach Fluff", #FFD6C7, 1543
"Purple Accent", #9C6484, 1545
"Flax", #E6AE6F, 1549
"Desert Cactus", #6C8E87, 1550
"Ocean Aqua", #80B0AE, 1551
"Dk Desert Cactus", #6C7C71, 1552
"Purple Passion", #8C748C, 1554
"Tea Rose", #EB7183, 1558
"Marine Aqua", #68E0F8, 1560
"Deep Hyacinth", #B58CC7, 1561
"Shrimp", #FAD2AA, 1800
"Flesh", #FADC96, 1801
"Soft Blush", #FFC896, 1802
"Island Peach", #FF9B6E, 1803
"Bayou Blue", #375A73, 1804
"Ocean View", #28505A, 1805
"Madras Blue", #A0B9C3, 1806
"Soft Heather", #B49682, 1807
"Velvet Slipper", #D2AF9B, 1808
"Iced Mauve", #A07D82, 1809
"Wild Mulberry", #645055, 1810
"Wineberry", #3C2837, 1811
"Wildflower", #6E2D5A, 1812
"Plum Wine", #6E2D41, 1813
"Orchid Kiss", #AF4B69, 1814
"Japanese Fern", #91B432, 1815
"Honeydew", #D7F58C, 1816
"Lemon Grass", #AAAF14, 1817
"Fairway Mist", #C8F58C, 1818
"Outback", #C3913C, 1819
"Fruit Shake", #C38C73, 1820
"Creamy Peach", #FAC896, 1821
"Toffee", #965A37, 1822
"Cocoa", #965A28, 1823
"Gentle Rain", #D2C3AF, 1824
"Barnyard Grass", #5F9619, 1825
"Galley Gold", #AA820A, 1826
"Coral Sunset", #FF643C, 1827
"Seashell", #FFE6AA, 1828
"Crème Brulee", #F0EBA5, 1829
"Lilac", #B47396, 1830
"Liimeade", #91E12D, 1831
"Desert Glow", #E19119, 1832
"Pumpkin Pie", #D25F00, 1833
"Pea Soup", #AFAA05, 1834
"Peapod Green", #6E8205, 1835
"Loden Green", #3C4B05, 1836
"Lt. Cocoa", #9B735A, 1837
"Cocoa Cream", #CDAA7D, 1838
"Cameo", #87C887, 1839
"Sand", #F9E6CA, 508
"Bone", #FDF3DA, 520
"Dark Ash", #5D3446, 1241
"Spring Moss", #E0C63B, 1243
"Summer Gold", #DDAB00, 1260
"Dk. Autumn Gold", #A98803, 1262
"Mushroom", #AC8783, 1269
"Dark Forest", #36361F, 1273
"Watermelon", #FA5F7F, 1303
"Caribbean Mist", #A3C2D7, 1644
