"Name", "Color (Hex Code)", "Catalog Code"
"?", 0xBD9565, 934
"?", 0x806800, 936
"?", 0xC98300, 940
"?", 0xAF7D3E, 941
"?", 0x483928, 945
"?", 0xFEECD9, 961
"?", 0xFEFEED, 970
"?", 0xDD973A, 1041
"?", 0x6A4129, 1055
"?", 0xFDE2C1, 1060
"?", 0xA68A68, 1061
"?", 0xD76814, 1099
"?", 0xED873F, 1100
"?", 0xEC870E, 1101
"?", 0xED9206, 1102
"?", 0xEE9C00, 1106
"?", 0xC45331, 1113
"?", 0xEE8751, 1114
"?", 0xA35214, 1115
"?", 0xF8C000, 1120
"?", 0xB7976B, 1123
"?", 0x9D5A21, 1134
"?", 0xF3D8A8, 1140
"?", 0xFACFAE, 1141
"?", 0xDFC8AB, 1172
"?", 0xE89763, 1211
"?", 0xF1A236, 1220
"?", 0x3D2723, 1276
"?", 0xE5571D, 1300
"?", 0xE8643C, 1302
"?", 0xE4501E, 1304
"?", 0xEA7134, 1305
"?", 0xE12A23, 1306
"?", 0xC14817, 1311
"?", 0xC45331, 1312
"?", 0xD7623E, 1313
"?", 0xED7C56, 1320
"?", 0x92291B, 1324
"?", 0xD5815E, 1332
"?", 0xBB3D2E, 1334
"?", 0xBE2D1A, 1335
"?", 0x5F1B23, 1342
"?", 0x7A3441, 1346
"?", 0x84291D, 1348
"?", 0xFBBF95, 1351
"?", 0xF4A773, 1352
"?", 0x693920, 1355
"?", 0xF9C6A1, 1361
"?", 0xF9C598, 1362
"?", 0x432731, 1366
"?", 0x464537, 1375
"?", 0x4D2E18, 1376
"?", 0xD64F42, 1421
"?", 0xF4A782, 1430
"?", 0xE22D2A, 1501
"?", 0xA93121, 1514
"?", 0xEC7168, 1521
"?", 0xF6B08E, 1532
"?", 0xF9C5B9, 1551
"?", 0x806A61, 1565
"?", 0x464537, 1573
"?", 0xE36C63, 1600
"?", 0xF9C7B9, 1630
"?", 0xE44733, 1701
"?", 0xDF0032, 1703
"?", 0xE44733, 1705
"?", 0xCF0040, 1725
"?", 0xDB686B, 1750
"?", 0xF1CDCE, 1755
"?", 0xE9C9BD, 1760
"?", 0xE8C0B8, 1761
"?", 0xE00046, 1800
"?", 0xE43449, 1802
"?", 0xD6445D, 1805
"?", 0xF49E95, 1840
"?", 0xB76663, 1842
"?", 0xE36C63, 1849
"?", 0xF0887D, 1850
"?", 0xFAC7C1, 1855
"?", 0xFCDAD5, 1860
"?", 0xFDE3D3, 1870
"?", 0x636254, 1874
"?", 0x394535, 1876
"?", 0xE10057, 1900
"?", 0xBD0041, 1902
"?", 0xC00343, 1903
"?", 0xA9023A, 1904
"?", 0x960018, 1905
"?", 0xBE004F, 1906
"?", 0x910230, 1911
"?", 0x86023E, 1912
"?", 0x9A0C3B, 1913
"?", 0xA41F39, 1914
"?", 0xA33050, 1921
"?", 0xF28DA6, 1940
"?", 0xCE427A, 1950
"?", 0xF2B9BE, 1960
"?", 0x959595, 1972
"?", 0xA33145, 2011
"?", 0x9F454C, 2022
"?", 0xC7979B, 2051
"?", 0xD18D89, 2053
"?", 0x970038, 2100
"?", 0x9F003F, 2101
"?", 0x78093F, 2113
"?", 0x432732, 2123
"?", 0xE6778B, 2152
"?", 0xDF8390, 2153
"?", 0xF9BFC0, 2155
"?", 0xFBD1D6, 2160
"?", 0xFDE3DB, 2165
"?", 0xD8D5D0, 2166
"?", 0xFEEDE2, 2168
"?", 0xF7DED6, 2170
"?", 0xF7DEDE, 2171
"?", 0xFCD9C4, 2180
"?", 0xE8418C, 2220
"?", 0x8C0C4A, 2222
"?", 0x883A40, 2224
"?", 0xEE71A1, 2230
"?", 0xA95A68, 2241
"?", 0xFAC8D3, 2250
"?", 0xD3007E, 2300
"?", 0xBF006A, 2310
"?", 0xD20067, 2320
"?", 0x780C38, 2332
"?", 0x651533, 2333
"?", 0x3A212B, 2336
"?", 0xF2E0DC, 2360
"?", 0xFDE5EC, 2363
"?", 0x970059, 2500
"?", 0x8B1771, 2502
"?", 0xAA4381, 2504
"?", 0xB40073, 2505
"?", 0x820052, 2506
"?", 0xD63C81, 2513
"?", 0xE20078, 2520
"?", 0xBF006A, 2521
"?", 0xEE71A1, 2524
"?", 0xF189AF, 2550
"?", 0xF7B4CA, 2555
"?", 0xF7B4CA, 2560
"?", 0x494949, 2576
"?", 0x394248, 2578
"?", 0x893480, 2600
"?", 0x6C0051, 2611
"?", 0xCD73A6, 2620
"?", 0xD994B9, 2640
"?", 0xDDBDD5, 2645
"?", 0xE6B7CF, 2650
"?", 0xECD2DE, 2655
"?", 0x606D8C, 2674
"?", 0x646A6E, 2675
"?", 0x610051, 2711
"?", 0x704191, 2712
"?", 0x490251, 2715
"?", 0x2F206F, 2743
"?", 0xC690A1, 2764
"?", 0x6F067B, 2810
"?", 0xAD85B1, 2820
"?", 0xA974AB, 2830
"?", 0x4C0F7B, 2900
"?", 0x664090, 2905
"?", 0x83589D, 2910
"?", 0x8C6DAA, 2920
"?", 0xC9B5D4, 3040
"?", 0xC790BA, 3045
"?", 0x707070, 3062
"?", 0x2A377E, 3102
"?", 0x3C1F81, 3103
"?", 0x35247A, 3110
"?", 0x260751, 3114
"?", 0x28135B, 3133
"?", 0x6E5DA3, 3200
"?", 0x353A90, 3210
"?", 0x524A90, 3211
"?", 0x785FA3, 3213
"?", 0x241757, 3222
"?", 0x7D77AF, 3241
"?", 0x9083A3, 3251
"?", 0xB2AABD, 3262
"?", 0x392D88, 3301
"?", 0x5661A8, 3321
"?", 0x323887, 3322
"?", 0x14214E, 3323
"?", 0x3A2885, 3330
"?", 0x7F8BC2, 3331
"?", 0x1B3C78, 3333
"?", 0xB9BDD9, 3340
"?", 0x11263C, 3344
"?", 0x202A65, 3353
"?", 0x171B4A, 3355
"?", 0x959ACA, 3420
"?", 0x6A76B5, 3430
"?", 0x11263C, 3443
"?", 0x002232, 3444
"?", 0x2D4491, 3522
"?", 0x261257, 3536
"?", 0x53428A, 3540
"?", 0x3A2885, 3541
"?", 0x233B7D, 3543
"?", 0x273C82, 3544
"?", 0x272651, 3554
"?", 0x28438C, 3600
"?", 0x243A7D, 3611
"?", 0x4055A1, 3612
"?", 0x1A4C8D, 3622
"?", 0x1E569F, 3631
"?", 0x92B1DC, 3640
"?", 0x648DC7, 3641
"?", 0xD0DEEE, 3650
"?", 0xEAF0F9, 3661
"?", 0x00507F, 3732
"?", 0x12253C, 3743
"?", 0xB7D1E3, 3750
"?", 0xD0DEEE, 3752
"?", 0xAFC9E5, 3761
"?", 0xCED2D1, 3770
"?", 0x3D6AA1, 3810
"?", 0x91B9E2, 3820
"?", 0x00779E, 3822
"?", 0xB4CEEB, 3840
"?", 0x507193, 3842
"?", 0xD5E3F4, 3845
"?", 0x9AB8D3, 3851
"?", 0x007EBA, 3900
"?", 0x0082C4, 3901
"?", 0x006CA5, 3902
"?", 0x4ABDF0, 3910
"?", 0x86AACA, 3951
"?", 0x485E8A, 3952
"?", 0x697698, 3953
"?", 0xC5E1F3, 3961
"?", 0xA6D8F6, 3962
"?", 0xE1E1E1, 3971
"?", 0x0093B9, 4010
"?", 0x006587, 4022
"?", 0x87C7EA, 4030
"?", 0x507793, 4032
"?", 0x265674, 4033
"?", 0x9ED4E6, 4040
"?", 0xEAF0F9, 4071
"?", 0x0096C1, 4100
"?", 0x2DB0CF, 4101
"?", 0x0095C6, 4103
"?", 0x0081AA, 4105
"?", 0x00A4D9, 4111
"?", 0x00A9C9, 4113
"?", 0x5DBFD2, 4121
"?", 0x00405D, 4133
"?", 0x192024, 4174
"?", 0x192024, 4175
"?", 0x4FB4CB, 4220
"?", 0x8DCEE4, 4230
"?", 0x2DB0CF, 4231
"?", 0x006587, 4232
"?", 0x8DCDDB, 4240
"?", 0xD5EBF2, 4250
"?", 0x007389, 4400
"?", 0x007B8D, 4410
"?", 0x00B2CA, 4420
"?", 0x0091A5, 4421
"?", 0x007D8C, 4423
"?", 0x007986, 4425
"?", 0x5FBFD1, 4430
"?", 0x004250, 4432
"?", 0x8DCEE4, 4440
"?", 0x006981, 4442
"?", 0x007F92, 4452
"?", 0x008192, 4500
"?", 0x007079, 4513
"?", 0x002F38, 4515
"?", 0x00646A, 4516
"?", 0x007389, 4531
"?", 0x007B8D, 4610
"?", 0x00A3A0, 4620
"?", 0x0B7F85, 4625
"?", 0x005B63, 4643
"?", 0x234544, 4644
"?", 0x8CCDD3, 4840
"?", 0x006F73, 5000
"?", 0x005B63, 5005
"?", 0x00A6AD, 5010
"?", 0x49BAC0, 5020
"?", 0xCFDDE0, 5040
"?", 0xB4DCD8, 5050
"?", 0x00876E, 5100
"?", 0x009084, 5101
"?", 0x00B1AE, 5111
"?", 0x48BAB7, 5115
"?", 0x00AF8C, 5210
"?", 0x8CCCC2, 5220
"?", 0x47B9AE, 5230
"?", 0x197E6D, 5233
"?", 0x8CCCC2, 5240
"?", 0x005B63, 5255
"?", 0x006E42, 5324
"?", 0x004D3D, 5326
"?", 0x002F38, 5335
"?", 0x002D1F, 5374
"?", 0x002F38, 5375
"?", 0x008663, 5411
"?", 0x006B4E, 5415
"?", 0x008663, 5422
"?", 0x006B56, 5425
"?", 0x008879, 5431
"?", 0xDBE9E5, 5460
"?", 0x6AC093, 5470
"?", 0x52BA84, 5500
"?", 0x14A363, 5510
"?", 0x007848, 5513
"?", 0x008663, 5515
"?", 0x52A04F, 5531
"?", 0x6EA293, 5542
"?", 0x94ADA1, 5552
"?", 0x103828, 5555
"?", 0x63BE5F, 5600
"?", 0x85C875, 5610
"?", 0x2CB431, 5611
"?", 0x14B26D, 5613
"?", 0x40B780, 5620
"?", 0x1A781E, 5633
"?", 0x157436, 5643
"?", 0xC9E3C5, 5650
"?", 0x6B9181, 5664
"?", 0x3A6D57, 5765
"?", 0x103828, 5766
"?", 0x02140C, 5776
"?", 0xA5C278, 5822
"?", 0xB4D383, 5832
"?", 0x70953F, 5833
"?", 0xA2D289, 5840
"?", 0x273014, 5866
"?", 0x81C750, 5912
"?", 0x457021, 5933
"?", 0x506702, 5934
"?", 0xBBDB41, 5940
"?", 0x003518, 5944
"?", 0xE3EB00, 6010
"?", 0xBED782, 6051
"?", 0x2D3B01, 6065
"?", 0xDCDDD1, 6071
"?", 0x919600, 6133
"?", 0x484601, 6156
